credible	capable of being believed	believable
abstain	choose not to consume	No Description
languid	lacking spirit or liveliness	slow
reprehensible	bringing or deserving severe rebuke or censure	shameful, very bad, blameworthy
nugatory	of no real value	No Description
importune	beg persistently and urgently	No Description
obviate	do away with	similar but different. Repudiate
stringent	demanding strict attention to rules and procedures	No Description
flaunt	display proudly	No Description
obsequious	attentive in an ingratiating or servile manner	No Description
oblivious	lacking conscious awareness of	No Description
retention	the act of keeping something	preservation
abstemious	sparing in consumption of especially food and drink	No Description
opprobrious	expressing offensive reproach	showing excessive scorn
quaint	attractively old-fashioned	picturesque
emancipate	free from slavery or servitude	exonerate, exculpate
fickle	liable to sudden unpredictable change	No Description
blatant	without any attempt at concealment; completely obvious	obvious, not subtle, overt
fervor	feelings of great warmth and intensity	No Description
credulous	showing a lack of judgment or experience	gullible
falter	move hesitatingly, as if about to give way	to waver or get weaker
exposition	a systematic interpretation or explanation of a topic	when you expose something you give a clear explanation of that thing
cogitate	consider carefully and deeply	think over sth
tenacious	stubbornly unyielding	No Description
reticent	reluctant to draw attention to yourself	holding something back
spurious	plausible but false	seems true but is false
taunt	harass with persistent criticism or carping	No Description
flamboyant	marked by ostentation but often tasteless	No Description
begrudge	be envious of	No Description
plaintiff	a person who brings an action in a court of law	No Description
interminable	tiresomely long; seemingly without end	never-ending
syllogism	reasoning in which a conclusion is derived from two premises	No Description
rescind	cancel officially	retract, repeal, revoke
gushing	extravagantly demonstrative	No Description
harbinger	something indicating the approach of something or someone	indicators
turpitude	a corrupt or depraved or degenerate act or practice	moral corruption
vitriolic	harsh or corrosive in tone	No Description
obliterate	remove completely from recognition or memory	expunge, destroy, remove completely
pedant	a person who pays too much attention to formal rules	martinent
feckless	generally incompetent and ineffectual	lazy, weak
invidious	containing or implying a slight or showing prejudice	No Description
caucus	meet to select a candidate or promote a policy	private political meeting
burgeon	grow and flourish	No Description
obdurate	stubbornly persistent in wrongdoing	No Description
garish	tastelessly showy	No Description
plummet	drop sharply	No Description
repudiate	refuse to acknowledge, ratify, or recognize as valid	shun, eschew
exasperated	greatly annoyed; out of patience	No Description
portend	indicate by signs	No Description
bard	a lyric poet	No Description
circumscribe	restrict or confine	limit
aloof	remote in manner	distant, retiring
sporadic	recurring in scattered or unpredictable instances	No Description
pretentious	tawdry or vulgar	pompous, not being altruism
prosody	the study of poetic meter and the art of versification	No Description
portent	a sign of something about to happen	No Description
cavalcade	a procession of people traveling on horseback	No Description
extradite	hand over to the authorities of another country	No Description
arcane	requiring secret or mysterious knowledge	obscured
crude	belonging to an early stage of technical development	No Description
fortitude	strength of mind that enables one to endure adversity	courage
lethargic	deficient in alertness or activity	No Description
catharsis	purging of emotional tensions	No Description
palatable	acceptable to the taste or mind	No Description
hypocritical	professing feelings or virtues one does not have	insincere
effusive	extravagantly demonstrative	gushing
poignant	keenly distressing to the mind or feelings	something that touches your feelings
ominous	threatening or foreshadowing evil or tragic developments	No Description
abasement	depriving one of self-esteem	humiliation
disdain	lack of respect accompanied by a feeling of intense dislike	No Description
hortatory	giving strong encouragement	No Description
hiatus	an interruption in the intensity or amount of something	No Description
gaunt	very thin especially from disease or hunger or cold	No Description
tout	advertize in strongly positive terms	No Description
expedient	appropriate to a purpose	No Description
incipient	only partly in existence; imperfectly formed	In early stages of existence
astute	marked by practical hardheaded intelligence	sharp-witted
whimsical	determined by chance or impulse rather than by necessity	No Description
articulate	express or state clearly	No Description
abrogate	revoke formally	cancel, deny, repeal
circumvent	avoid or try to avoid fulfilling, answering, or performing	No Description
absolution	formal redemption as pronounced by a priest in penance	forgiveness, pardon
languish	lose vigor, health, or flesh, as through grief	No Description
prudent	marked by sound judgment	cautious
extrinsic	not forming an essential part of a thing	irrelevant, extraneous, not pertinent
vulgar	of or associated with the great masses of people	1. not having or showing good taste; not polite, elegant or well behaved 2. rude and likely to offend
puissance	power to influence or coerce	No Description
colossal	so great in size or force or extent as to elicit awe	No Description
bastion	a stronghold for shelter during a battle	a group of people which is protecting something in danger
replete	filled to satisfaction with food or drink	No Description
tumult	a state of commotion and noise and confusion	noise
condone	excuse, overlook, or make allowances for	No Description
inchoate	only partly in existence; imperfectly formed	No Description
proclivity	a natural inclination	No Description
quarry	animal hunted or caught for food	prey , stone mine
audacious	invulnerable to fear or intimidation	No Description
acolyte	an assistant to a priest or minister in a liturgical service	No Description
transient	lasting a very short time	No Description
surreptitious	marked by quiet and caution and secrecy	furtive
prodigious	so great in size or force or extent as to elicit awe	No Description
pathos	a quality that arouses emotions, especially pity or sorrow	No Description
obstreperous	noisily and stubbornly defiant	boisterous
predicament	a situation from which extrication is difficult	hardship, dilemma
clamor	utter or proclaim insistently and noisily	clamour
tawdry	tastelessly showy	No Description
plaudit	enthusiastic approval	statement giving strong appraise, applaud or applause
brusque	marked by rude or peremptory shortness	abrupt, blunt
bilk	cheat somebody out of what is due, especially money	No Description
ruse	a deceptive maneuver, especially to avoid capture	trick
moratorium	suspension of an ongoing activity	No Description
circumspect	heedful of potential consequences	cautious
subterfuge	something intended to misrepresent the nature of an activity	trick
pontificate	talk in a dogmatic and pompous manner	No Description
ensconce	fix firmly	establish firmly in a position
gaudy	tastelessly showy	No Description
conundrum	a difficult problem	No Description
discrepancy	a difference between conflicting facts or claims or opinions	No Description
gaudery	cheap or pretentious or vain display	No Description
sardonic	disdainfully or ironically humorous	mocking
garrulous	full of trivial conversation	talkative
contempt	lack of respect accompanied by a feeling of intense dislike	No Description
hyperbole	extravagant exaggeration	exaggeration
reprieve	postpone the punishment of a convicted criminal	respite
boorish	ill-mannered and coarse in behavior or appearance	No Description
dilatory	wasting time	slow, behind the others
decoy	something used to lure fish or other animals	No Description
eloquent	expressing yourself readily, clearly, effectively	No Description
patronize	treat condescendingly	condescend to
propensity	a natural inclination	No Description
querulous	habitually complaining	No Description
destitution	a state without money or prospects	poverty
